Codice;Ubicazione;Area di Competenza;DescrizioneVia;Civico;CodiceVia;denominazione_pe;insegna;superficie_somministrazione;CAP;ID_NIL;NIL;MUNICIPIO;LONG_WGS84;LAT_WGS84;Location
PE/26136;Viale ABRUZZI N. 37 (z.d. 3);SOMMINISTRAZIONE - In piano;Viale ABRUZZI;37;2177.0;g - Bar pasticceria, bar gelateria, cremeria, creperia e simili;;60.0;20129.0;21.0;BUENOS AIRES - VENEZIA;3.0;9.21682137725;45.4794135557;45.4794135557, 9.21682137725
PE/26137;Via GIOTTO N. 31 (z.d. 7);SOMMINISTRAZIONE - In piano;Via GIOTTO;31;6248.0;c - Tavole calde,self service, fast food e simili|e - Bar gastronomici e simili|f - Bar caffè e simili;;83.0;20145.0;68.0;PAGANO;7.0;9.15620875631;45.4694925497;45.4694925497, 9.15620875631
PE/26140;VIA NERINO N. 11 (z.d. 1);SOMMINISTRAZIONE - In piano;VIA NERINO;11;564.0;g - Bar pasticceria, bar gelateria, cremeria, creperia e simili|a - Ristorante, trattoria, osteria con cucina e simili;;92.0;20123.0;1.0;DUOMO;1.0;9.18349045728;45.4610882089;45.4610882089, 9.18349045728
PE/26151;Piazza PIO XI N. 1 con ingresso da via spadari 13 (z.d. 1);SOMMINISTRAZIONE - In piano;Piazza PIO XI;1;572.0;g - Bar pasticceria, bar gelateria, cremeria, creperia e simili;;48.0;20123.0;1.0;DUOMO;1.0;9.18640439466;45.463699891;45.463699891, 9.18640439466
PE/25403;VIA BELFIORE N. 15 (z.d. 7);SOMMINISTRAZIONE - In piano;VIA BELFIORE;15;6246.0;d - Pizzerie e simili;;61.0;20145.0;68.0;PAGANO;7.0;9.15725176569;45.4676600046;45.4676600046, 9.15725176569
PE/25718;Via CIALDINI ENRICO N. 111 (z.d. 9);SOMMINISTRAZIONE - In piano;Via CIALDINI ENRICO;111;1477.0;f - Bar caffè e simili;;68.0;20161.0;80.0;AFFORI;9.0;9.16930891651;45.5152393308;45.5152393308, 9.16930891651
PE/26050;Corso PORTA NUOVA (DI) N. 48 (z.d. 1);SOMMINISTRAZIONE - In piano;Corso PORTA NUOVA (DI);48;1044.0;a - Ristorante, trattoria, osteria con cucina e simili|f - Bar caffè e simili;;31.0;20121.0;2.0;BRERA;1.0;9.19241681689;45.4786191181;45.4786191181, 9.19241681689
PE/26051;VIA ASTESANI ALESSANDRO N. 1 (z.d. 9);SOMMINISTRAZIONE - In piano;VIA ASTESANI ALESSANDRO;1;1558.0;e - Bar gastronomici e simili|f - Bar caffè e simili;;125.0;20161.0;80.0;AFFORI;9.0;9.17194082751;45.5161759914;45.5161759914, 9.17194082751
PE/26053;Via BORGOSPESSO N. 1 (z.d. 1);SOMMINISTRAZIONE - In piano;Via BORGOSPESSO;1;229.0;a - Ristorante, trattoria, osteria con cucina e simili|f - Bar caffè e simili;;197.0;20121.0;1.0;DUOMO;1.0;9.19363846471;45.4698432417;45.4698432417, 9.19363846471
PE/26054;Via SANSOVINO N. 1 (z.d. 3);SOMMINISTRAZIONE - In piano;Via SANSOVINO;1;2213.0;a - Ristorante, trattoria, osteria con cucina e simili|f - Bar caffè e simili;;103.0;20133.0;21.0;BUENOS AIRES - VENEZIA;3.0;9.2175492348;45.4792183676;45.4792183676, 9.2175492348
PE/26055;Via DI TOCQUEVILLE ALESSIO N. 7D (z.d. 9);SOMMINISTRAZIONE - In piano;Via DI TOCQUEVILLE ALESSIO;7D;1703.0;a - Ristorante, trattoria, osteria con cucina e simili;;207.0;20154.0;9.0;GARIBALDI REPUBBLICA;9.0;9.1865695456;45.482654825;45.482654825, 9.1865695456
PE/26056;Via VEGLIA N. 1 (z.d. 9);SOMMINISTRAZIONE - In piano;Via VEGLIA;1;1337.0;a - Ristorante, trattoria, osteria con cucina e simili|d - Pizzerie e simili;;95.0;20159.0;12.0;MACIACHINI - MAGGIOLINA;9.0;9.19284011218;45.4962927724;45.4962927724, 9.19284011218
PE/26057;Viale MONZA N. 325 (z.d. 2);SOMMINISTRAZIONE - In piano;Viale MONZA;325;2274.0;e - Bar gastronomici e simili;;13.0;20126.0;16.0;VLE MONZA;2.0;9.22551021633;45.5184455509;45.5184455509, 9.22551021633
PE/25971;VIA AGNELLO N. 18 (z.d. 1);SOMMINISTRAZIONE - In piano;VIA AGNELLO;18;209.0;a - Ristorante, trattoria, osteria con cucina e simili;;108.0;20121.0;1.0;DUOMO;1.0;9.19168037994;45.4661439122;45.4661439122, 9.19168037994
PE/25924;Via GIOIA MELCHIORRE N. 67 (z.d. 2);SOMMINISTRAZIONE - In piano;Via GIOIA MELCHIORRE;67;1108.0;c - Tavole calde,self service, fast food e simili|f - Bar caffè e simili;;60.0;20124.0;11.0;ISOLA;2.0;9.20023708171;45.4891363617;45.4891363617, 9.20023708171
PE/25927;Via PADOVA N. 68 (z.d. 2);SOMMINISTRAZIONE - In piano;Via PADOVA;68;2275.0;a - Ristorante, trattoria, osteria con cucina e simili|f - Bar caffè e simili;;68.0;20131.0;20.0;LORETO;2.0;9.22398460416;45.4914859354;45.4914859354, 9.22398460416
PE/25936;Via VARANINI LUIGI N. 26 (z.d. 2);SOMMINISTRAZIONE - In piano;Via VARANINI LUIGI;26;2288.0;a - Ristorante, trattoria, osteria con cucina e simili;;75.0;20125.0;20.0;LORETO;2.0;9.21479489306;45.493169156;45.493169156, 9.21479489306
PE/25937;Via MARCHIONNI CARLOTTA N. 12 (z.d. 9);SOMMINISTRAZIONE - In piano;Via MARCHIONNI CARLOTTA;12;1658.0;f - Bar caffè e simili;;13.0;20161.0;83.0;BRUZZANO;9.0;9.17624581988;45.5265657678;45.5265657678, 9.17624581988
PE/25938;Via BERGAMO N. 12A (z.d. 4);SOMMINISTRAZIONE - In piano;Via BERGAMO;12A;3189.0;e - Bar gastronomici e simili;;22.0;20135.0;26.0;XXII MARZO;4.0;9.20847791961;45.4565753924;45.4565753924, 9.20847791961
PE/25501;Via LEGNANO N. 26 (z.d. 1);SOMMINISTRAZIONE - In piano;Via LEGNANO;26;7082.0;f - Bar caffè e simili|a - Ristorante, trattoria, osteria con cucina e simili;;115.0;20121.0;2.0;BRERA;1.0;9.18150726075;45.47663775;45.47663775, 9.18150726075
PE/25503;Via TURATI FILIPPO N. 6 (z.d. 1);SOMMINISTRAZIONE - In piano;Via TURATI FILIPPO;6;1053.0;f - Bar caffè e simili|e - Bar gastronomici e simili;;162.0;20121.0;2.0;BRERA;1.0;9.19505116012;45.473763381;45.473763381, 9.19505116012
C-PE/9434;Via GALDINO (SAN) N. 11 isolato:031| accesso: accesso esterno| (z.d. 8 (z.d. 8);SOMMINISTRAZIONE - In piano;Via GALDINO (SAN);11;7215.0;;;44.0;20154.0;69.0;SARPI;8.0;9.16664229783;45.4870772324;45.4870772324, 9.16664229783
PE/25446;Via FORZE ARMATE (DELLE) N. 19 (z.d. 7);SOMMINISTRAZIONE - In piano;Via FORZE ARMATE (DELLE);19;6643.0;e - Bar gastronomici e simili;;27.0;20146.0;52.0;BANDE NERE;7.0;9.13759594898;45.4633063843;45.4633063843, 9.13759594898
PE/25787;Viale PIAVE N. 38 (z.d. 3);SOMMINISTRAZIONE - In piano;Viale PIAVE;38;2179.0;e - Bar gastronomici e simili|f - Bar caffè e simili;;38.0;20129.0;21.0;BUENOS AIRES - VENEZIA;3.0;9.20677384163824;45.4726188732503;45.4726188732503, 9.20677384163824
PE/25791;VIALE MONZA N. 68 (z.d. 2);SOMMINISTRAZIONE - In piano;VIALE MONZA;68;2274.0;f - Bar caffè e simili;;34.0;20127.0;20.0;LORETO;2.0;9.21939613861;45.4944526986;45.4944526986, 9.21939613861
PE/25799;Via MARCO D'AGRATE N. 1 (z.d. 5);SOMMINISTRAZIONE - In piano;Via MARCO D'AGRATE;1;4276.0;e - Bar gastronomici e simili;;57.0;20139.0;36.0;SCALO ROMANA;5.0;9.21609740057;45.4367377869;45.4367377869, 9.21609740057
PE/25800;VIA MERCADANTE SAVERIO N. 17 (z.d. 3);SOMMINISTRAZIONE - In piano;VIA MERCADANTE SAVERIO;17;2232.0;g - Bar pasticceria, bar gelateria, cremeria, creperia e simili|e - Bar gastronomici e simili;;41.0;20124.0;21.0;BUENOS AIRES - VENEZIA;3.0;9.21365450147;45.4840436954;45.4840436954, 9.21365450147
